commonName,scienName,shortDesc,longDesc,poisHuman,poisAnimal,poisNotes,genCare,food,water,minTemp,img,sunlight
Golden Pincushion Cactus,mammillaria muehlenpfordtii,Golden Pincushion Cacti are small plants that are a great addition for new plant parents as these ball/barrel shaped cacti are low-maintenance beauties.,Golden Pincushion Cacti are small plants that are a great addition for new plant parents as these ball/barrel shaped cacti are low-maintenance beauties. These small cacti will be a great addition to your home in either a solo pot or as succulent display.,1,1,,"Easy care plant for beginners. Pincushion Cacti do not grow more than 6 inches tall. Pincushion Cacti needs a gritty soil that is well-draining. This cacti can be grown from a seed or can be propagated from the mother plant. While these cacti do produce flowers, it is difficult to get them to bloom in a household setting. If you would like to increase your chances of seeing blooms on your cactus, hold off watering your Golden Pincushion until several weeks into the spring season.",Fertilize during growing season with a 10-10-10 fertilizer diluted to 1/4 strength each watering.,Drough-tolerant.,45F (7.2C),https://i.pinimg.com/originals/9f/3a/c1/9f3ac145685cf7f8fedf3109c78bc577.jpg,Full Sun to Bright Light
ZZ Plant,Zamioculcas 'Zamicro',ZZ Plants are one of the easiest houseplants to grow.,"ZZ Plants are one of the easiest houseplants to grow. The dark green leaves of the ZZ plant add a lovely look to your home and whether you are a plant newbie or an expert, this plant will keep up with your plant goals.",1,1,,The ZZ Plant is one of the most forgiving plants to grow; it is tolerant to a wide variety of home conditions.,Fertilize 2 times a year with general-purpouse fertilizer. Follow package instructions.,"The ZZ grows best when watered when the top 1-2 inches of soil have dried out. However, it is tolerant enough to withstand a watering one every couple of weeks. ",65F (18.3C),https://images.homedepot-static.com/productImages/22b7f2be-265e-4572-8246-bea85069604a/svn/costa-farms-house-plants-6zz-64_1000.jpg,"ZZ plants grow best in lots of indirect light (direct sunlight can cause the leaves to scorch), and thrive under the fluorescent lights of offices and commercial buildings."
Snake Plant,Sansevierias,"The Snake plant is an evergreen perennial plant forming dense stands, spreading by way of its creeping rhizome.","Snake plant is an evergreen perennial plant forming dense stands, spreading by way of its creeping rhizome, which is sometimes above ground, sometimes underground. Its stiff leaves grow vertically from a basal rosette. Mature leaves are dark green with light gray-green cross-banding and usually range from 70–90 centimetres (28–35 in) long.",1,1,,"Growing snake plant from cuttings is relatively easy. The most important thing to remember is that they can easily rot, so a free draining soil needs to be used. Leaf cuttings are the usual method but probably the easiest way to propagate snake plants is by dividing. The roots produce fleshy rhizomes, which can simply be removed with a sharp knife and potted up. Again, these will need to go into a free draining soil. After they have been propagated, the care of snake plants is very easy. Put them in indirect sunlight and don’t water them too much, especially during the winter. In fact, it’s better to let these plants dry out some between waterings. A little general purpose fertilizer can be used if the plants are in a pot, and that’s about it.",Free draining soil.,Water every 2-6 weeks. Always make sure soil is almost completely dry before watering again.,41F (5C),https://images-na.ssl-images-amazon.com/images/I/81ZTxjet2cL._SX425_.jpg,Snake Plants do fine in sunlight or dimly lit areas - your choice.
Gandalf Jade,Crassula 'Gandalf',Gandalf Jade is a hybrid between horntree and minor and has green shiny leaves with red margins.,"Crassula Gandalf is a hybrid between horntree and minor and has green shiny leaves with red margins. They make great housewarming gifts as they are often called the money plant or dollar plant, because they were once thought to bring good luck to their owners. Evergreen.",1,1,,"This is placeholder text for the general care of said plant. It is great placeholder text. We ate too many sour gummy worms and sour punch straws the night we were trying to finish this up and now everyone has stomach aches. Anyways, this general care text is coming along great and hopefully you didn't read this far.",Well-drained succulent soil mix is best with an ideal pH around 6.0 (slightly acidic).,Water when the top couple of inches of the potting mix dry to the touch,30F (-1C),https://www.gardens4you.co.uk/media/catalog/product/cache/1/image/500x/9df78eab33525d08d6e5fb8d27136e95/F/D/FD17909WH_3.jpg,Jade plants prefer full sun and like four or more hours of sunlight each day.
Pothos,Epipremnum aureum,Pothos is a species of flowering plant in the arum family Araceae.,"Epipremnum aureum is a species of flowering plant in the arum family Araceae, native to Mo'orea in the Society Islands of French Polynesia. The species is a popular houseplant in temperate regions, but has also become naturalised in tropical and sub-tropical forests worldwide, including northern Australia, Southeast Asia, South Asia, the Pacific Islands and the West Indies, where it has caused severe ecological damage in some cases.",1,1,,"This is placeholder text for the general care of said plant. It is great placeholder text. We ate too many sour gummy worms and sour punch straws the night we were trying to finish this up and now everyone has stomach aches. Anyways, this general care text is coming along great and hopefully you didn't read this far.",Placeholder text telling you about a great fertilizer to use.,Placeholder about how often to water.,55F (12.7C),https://images-na.ssl-images-amazon.com/images/I/81m0IBljM-L._SX425_.jpg,"While pothos likes a wide variety of light conditions, they do not do well in direct sunlight."
Fiddle Leaf Fig,Ficus lyrata,A flowering plant native to western Africa.,"Ficus lyrata, commonly known as the fiddle-leaf fig, is a species of flowering plant in the mulberry and fig family Moraceae. It is native to western Africa, from Cameroon west to Sierra Leone, where it grows in lowland tropical rainforest. It is a banyan fig (Ficus subgenus Urostigma) that commonly starts life as an epiphyte high in the crown of another tree.",1,1,,"This is placeholder text for the general care of said plant. It is great placeholder text. We ate too many sour gummy worms and sour punch straws the night we were trying to finish this up and now everyone has stomach aches. Anyways, this general care text is coming along great and hopefully you didn't read this far.",Placeholder text telling you about a great fertilizer to use.,Water every 5 - 10 days.,50F (10C),https://images-na.ssl-images-amazon.com/images/I/81wLZzFMfvL._SL1500_.jpg,"You should place your fiddle leaf fig in a south-facing window, where it will get steady sunlight all day long."
Chinese Money Plant,Pilea pepermioides,"Known by many names, this plant is native to southern China.","Pilea peperomioides, known as Chinese money plant, pancake plant, UFO plant, lefse plant, missionary plant or mirror grass, is a species of flowering plant in the nettle family Urticaceae, native to Yunnan and Sichuan provinces in southern China.",0,0,,"This is placeholder text for the general care of said plant. It is great placeholder text. We ate too many sour gummy worms and sour punch straws the night we were trying to finish this up and now everyone has stomach aches. Anyways, this general care text is coming along great and hopefully you didn't read this far.",Placeholder text telling you about a great fertilizer to use.,Placeholder about how often to water.,50F (10C),https://images-na.ssl-images-amazon.com/images/I/71Mu-27B53L._SX425_.jpg,"The best situation for a Chinese money plant is bright light, with no direct sunlight. Direct sun scorches leaves, and light shade may encourage larger leaves."
Golden Gate Peperomia,Peperomia Obtusifolia 'Golden Gate',The Golden Gate Peperomia is a striking variegated houseplant with uniquely patterned leaves.,The Golden Gate Peperomia is a striking variegated houseplant with uniquely patterned leaves of creamy yellow and pale green with borders of dark green. Succulent leaves are thick and waxy. Sometimes listed as Peperomia magnifolia 'Golden Gate'.,0,0,,"This is placeholder text for the general care of said plant. It is great placeholder text. We ate too many sour gummy worms and sour punch straws the night we were trying to finish this up and now everyone has stomach aches. Anyways, this general care text is coming along great and hopefully you didn't read this far.",Placeholder text telling you about a great fertilizer to use.,Placeholder about how often to water.,50F (10C),https://houseplants.studleys.com/wp-content/uploads/2016/03/Peperomia-Golden-Gate-1-400x300.jpg,Locate the plant in a medium to low light situation away from direct sun. You may also grow Peperomia plants under fluorescent lighting.
Air Plant,Tillandsia bulbosa,The Tillandsia Bulbosa is a bulbous airplant with deep green tendrils.,"The Tillandsia Bulbosa truly is a dark beauty of an air plant. It features lovely tendrils that are a gorgeous shade of deep green that appear to move and wave as you admire it. The Tillandsia Bulbosa is a beautiful addition to any home or office. Some have said that it resemble a sea creature with its smooth, long arms.",0,0,,"This is placeholder text for the general care of said plant. It is great placeholder text. We ate too many sour gummy worms and sour punch straws the night we were trying to finish this up and now everyone has stomach aches. Anyways, this general care text is coming along great and hopefully you didn't read this far.",Placeholder text telling you about a great fertilizer to use.,Placeholder about how often to water.,50F (10C),https://cdn.shopify.com/s/files/1/0049/0822/products/strepto_wood_stump_1_of_1_68f87272-e719-444a-8417-678321e88ccc.jpg?v=1518179917,"Air plants should be kept where they'll receive bright, indirect sunlight or under fluorescent home/office lighting. Periods of direct sunlight are just fine, but more than a few hours of hot sun will deplete the plants of their moisture."
Aloe Vera,Aloe Barbadensis,Aloe vera is a stemless or very short-stemmed plant with thick leaves.,"Aloe vera is a stemless or very short-stemmed plant growing to 60–100 cm (24–39 in) tall, spreading by offsets. The leaves are thick and fleshy, green to grey-green, with some varieties showing white flecks on their upper and lower stem surfaces.[4] The margin of the leaf is serrated and has small white teeth.",1,1,"While the gel is edible, ingestion of other parts are toxic","This is placeholder text for the general care of said plant. It is great placeholder text. We ate too many sour gummy worms and sour punch straws the night we were trying to finish this up and now everyone has stomach aches. Anyways, this general care text is coming along great and hopefully you didn't read this far.",Placeholder text telling you about a great fertilizer to use.,Placeholder about how often to water.,40F (4.445C),https://images-na.ssl-images-amazon.com/images/I/61In86UTGDL._SL1500_.jpg,"Six to eight hours of direct sun is best, although most aloe plants will tolerate some light shade or filtered sun at midday. A south- or west-facing outdoor area provides ideal conditions for growing aloe, whether in a pot or in the ground."
Bright Star Aloe,Aloe 'Bright Star',"Aloe 'Bright Star' is a beautiful, multicolored Aloe hybrid with rosettes of succulent leaves spotted white.","Aloe 'Donnie', also sold as Aloe 'Bright Star', is a beautiful, multicolored Aloe hybrid with rosettes of succulent leaves spotted white, with delicately toothed edges of deep pink to red. It is a dwarf succulent plant and grows up to 4 inches (10 cm) tall and wide. It is a nice addition to the succulent collection outdoors or in.",1,1,"While the gel is edible, ingestion of other parts are toxic","This is placeholder text for the general care of said plant. It is great placeholder text. We ate too many sour gummy worms and sour punch straws the night we were trying to finish this up and now everyone has stomach aches. Anyways, this general care text is coming along great and hopefully you didn't read this far.",Placeholder text telling you about a great fertilizer to use.,Placeholder about how often to water.,40F (4.445C),https://i.ebayimg.com/images/g/Qn8AAMXQdm5Q~7wv/s-l300.jpg,"Six to eight hours of direct sun is best, although most aloe plants will tolerate some light shade or filtered sun at midday. A south- or west-facing outdoor area provides ideal conditions for growing aloe, whether in a pot or in the ground."
English Ivy,Heders helix,"Hedera helix, commonly known as English ivy, is a vigorous, aggressive, fast-growing, woody evergreen perennial.","Hedera helix, commonly known as English ivy, is a vigorous, aggressive, fast-growing, woody evergreen perennial that is primarily grown as a climbing vine or trailing ground cover. As a climbing vine, it may over time grow upwards to 50-100' in height. As a ground cover, it typically grows to 6-9"" tall but spreads over time to 50-100'.",1,1,,"This is placeholder text for the general care of said plant. It is great placeholder text. We ate too many sour gummy worms and sour punch straws the night we were trying to finish this up and now everyone has stomach aches. Anyways, this general care text is coming along great and hopefully you didn't read this far.",Placeholder text telling you about a great fertilizer to use.,Placeholder about how often to water.,35F (1.6C),https://i.pinimg.com/564x/ee/f1/16/eef116850ddbcb2d8a970dc7fedb363e.jpg,"Ivy will tolerate sun, but is happier in shaded areas that mimic its preferred woodland environments. Once established, it will grow in full sun, but not as easily. It will even thrive in deep shade, which makes it a valuable addition to low-light areas."
Rubber Plant,Ficus Elastica 'Burgandy',Rubber Plant (Ficus elastica) is among the most common Ficus plants used as houseplants.,"Rubber Plant (Ficus elastica) is among the most common Ficus plants used as houseplants. Rubber plant care is a task that requires moderate attention. Rubber Plant requires a very moist but well-drained environment, a good balance of light and shade, and a varying fertilizer regimen over the course of its life.",1,1,The sap can cause a severe rash.,"A “well-draining and well-aerated potting soil is needed. 1 part peat, 1 part pine bark and 1 part coarse sand (or perlite) is a good mix. 
Rubber plants’ water needs vary according to season: In the growing season (summer), the plant should be kept moist. This includes wiping the leaves with a damp cloth or even misting them. During the dormant season, your plant may only need water once or twice a month. Watch for droopy leaves, which indicate a need for more water. Leaves that turn yellow and brown and drop signal over-watering.

Mist during any season if they air is too dry, especially heated dry air like that which might occur during winter indoors.

Another tip is to water with lukewarm water.",Well-draining soil is important,Water every 5 - 10 days.,30F (-1C),https://i.pinimg.com/564x/5d/5d/c5/5d5dc55e54689fbd48526c8e3de1b258.jpg,Dappled lighting or indirect lighting is best.
